id(T),xyz(T),lane_type(L),lane_color(L)
46,429822.846 4414855.074 59.775 429822.731 4414854.704 59.782 429821.270 4414847.836 59.850 429821.018 4414847.603 59.872 429820.610 4414845.645 59.876 429819.996 4414842.696 59.911 429819.026 4414837.813 59.965 429818.117 4414833.299 60.026 429817.583 4414830.496 60.047 429817.532 4414830.315 60.054 429815.636 4414820.818 60.068 429814.843 4414816.847 60.083 429813.587 4414810.767 60.130 429812.049 4414803.081 60.124 429810.416 4414795.008 60.160 429810.146 4414793.633 60.173 429809.140 4414788.775 60.143 429808.547 4414785.834 60.120 429806.562 4414776.034 59.968 429805.187 4414769.200 59.844 429803.207 4414759.401 59.636 429801.657 4414751.764 59.540 429800.657 4414746.856 59.521 429791.137 4414699.250 59.710 429791.119 4414698.991 59.708 429789.917 4414693.055 59.723 429788.866 4414688.166 59.734 429787.945 4414683.685 59.741 429786.899 4414678.363 59.758 429785.792 4414672.466 59.771 429783.804 4414662.667 59.794 429782.037 4414653.842 59.799 429781.026 4414648.945 59.799 429780.189 4414645.033 59.795 429778.229 4414635.226 59.784 429777.215 4414630.331 59.774 429775.289 4414620.517 59.760 429774.280 4414615.621 59.747 429772.312 4414605.818 59.738 429771.739 4414602.870 59.732 429770.719 4414597.977 59.724 429768.963 4414589.150 59.700 429768.104 4414585.022 59.688 429767.111 4414580.110 59.664 429765.529 4414572.500 59.646 429764.356 4414566.616 59.617 429763.360 4414561.716 59.610 429762.099 4414555.809 59.595 429761.752 4414554.086 59.589 429761.306 4414551.933 59.559 429761.240 4414551.566 59.599,2,
47,429747.867 4414462.847 59.057 429748.390 4414465.662 59.066 429757.199 4414508.989 59.308 429757.295 4414509.203 59.347,2,
48,429769.019 4414550.280 59.505 429788.961 4414648.806 59.694 429790.022 4414653.690 59.689 429790.965 4414658.620 59.685 429791.313 4414659.949 59.681 429798.595 4414696.713 59.657 429805.691 4414731.483 59.522 429812.138 4414763.584 59.715 429813.077 4414768.461 59.806 429814.079 4414773.358 59.899 429815.070 4414778.231 59.993 429816.054 4414783.152 60.066 429817.045 4414788.040 60.087 429817.146 4414788.514 60.082 429817.379 4414789.667 60.081 429818.381 4414794.565 60.065 429819.371 4414799.456 60.050 429820.335 4414804.277 60.034 429821.337 4414809.178 60.020 429822.309 4414814.064 60.002 429823.291 4414819.001 59.987 429824.282 4414823.923 59.974 429824.812 4414826.771 59.961 429828.205 4414843.427 59.805 429829.188 4414845.712 59.780 429830.960 4414848.867 59.731 429831.254 4414849.384 59.652,2,
49,429737.384 4414375.786 58.502 429747.252 4414425.518 58.751 429748.316 4414429.972 58.783 429748.880 4414438.905 58.864 429749.458 4414448.892 58.919 429749.923 4414453.846 58.960 429750.672 4414458.613 58.991 429751.498 4414462.482 59.013 429760.773 4414508.374 59.217 429760.773 4414508.415 59.239,2,
50,429434.610 4414400.787 59.278 429436.511 4414400.782 59.358 429438.627 4414400.611 59.200 429443.528 4414399.650 59.165 429448.418 4414398.655 59.149 429453.329 4414397.650 59.147 429461.939 4414395.899 59.097 429462.067 4414395.875 59.093 429466.957 4414394.873 59.059 429471.853 4414393.887 59.031 429476.755 4414392.891 59.009 429481.667 4414391.884 58.991 429486.535 4414390.904 58.972 429491.426 4414389.920 58.953 429496.324 4414388.919 58.931 429501.239 4414387.931 58.905 429506.176 4414386.934 58.884 429511.061 4414385.935 58.867 429515.967 4414384.962 58.843 429520.877 4414383.978 58.821 429526.959 4414382.766 58.793 429527.478 4414382.649 58.790 429532.390 4414381.651 58.767 429537.296 4414380.661 58.748 429542.184 4414379.678 58.729 429547.088 4414378.692 58.703 429551.975 4414377.705 58.676 429556.878 4414376.714 58.652 429561.764 4414375.717 58.631 429566.675 4414374.731 58.606 429571.515 4414373.758 58.584 429576.431 4414372.784 58.558 429581.342 4414371.793 58.529 429586.241 4414370.785 58.502 429591.148 4414369.790 58.476 429597.022 4414368.609 58.448 429597.522 4414368.507 58.449 429602.429 4414367.516 58.420 429607.309 4414366.519 58.395 429612.208 4414365.525 58.359 429617.092 4414364.548 58.326 429621.973 4414363.549 58.308 429626.865 4414362.563 58.290 429629.238 4414361.927 58.289 429632.317 4414360.589 58.256 429641.098 4414356.773 58.229 429648.595 4414354.188 58.154 429698.715 4414343.877 58.232 429700.092 4414343.238 58.206 429700.350 4414343.105 58.192,2,
51,429662.604 4414354.912 58.139 429700.780 4414347.065 58.266 429701.122 4414346.987 58.239,2,
52,429047.584 4414986.258 62.644 429041.682 4415002.693 62.700 429033.355 4415022.591 62.772 429033.210 4415022.913 62.754,2,
53,429405.874 4414418.427 59.436 429405.832 4414418.426 59.444 429386.564 4414424.482 59.561 429381.868 4414426.171 59.569 429377.198 4414427.934 59.588 429373.818 4414429.306 59.604 429363.296 4414433.783 59.700 429361.312 4414434.809 59.665 429358.949 4414435.935 59.679 429350.715 4414440.231 59.724 429338.910 4414446.789 59.780 429328.506 4414453.576 59.833 429324.177 4414456.593 59.858 429321.826 4414458.279 59.870 429317.811 4414461.245 59.904 429313.871 4414464.297 59.929 429309.986 4414467.433 59.929 429306.175 4414470.644 59.970 429302.401 4414473.946 59.998 429298.714 4414477.333 60.020 429295.072 4414480.785 60.045 429291.706 4414484.046 60.061 429287.247 4414488.637 60.092 429284.523 4414491.566 60.113 429281.555 4414494.875 60.128 429278.346 4414498.647 60.146 429275.164 4414502.498 60.177 429272.052 4414506.414 60.199 429269.019 4414510.405 60.224 429266.054 4414514.456 60.233 429263.172 4414518.522 60.258 429260.257 4414522.758 60.282 429257.789 4414526.323 60.335 429254.976 4414530.457 60.375 429252.195 4414534.570 60.407 429250.126 4414537.800 60.381 429245.463 4414544.656 60.448 429244.784 4414545.648 60.457 429243.896 4414547.002 60.454 429240.747 4414551.612 60.495 429238.009 4414555.703 60.508 429235.259 4414559.885 60.512 429232.473 4414564.005 60.541 429229.674 4414568.158 60.547 429226.870 4414572.311 60.562 429224.071 4414576.445 60.581 429221.272 4414580.592 60.597 429218.475 4414584.733 60.619 429215.664 4414588.890 60.635 429212.849 4414593.022 60.661 429210.067 4414597.150 60.694 429207.271 4414601.280 60.720 429205.229 4414604.306 60.741 429202.807 4414607.902 60.762 429202.100 4414608.961 60.768 429199.499 4414612.809 60.776 429177.956 4414644.619 60.928 429175.173 4414648.780 60.991 429174.455 4414649.860 60.996 429166.956 4414660.982 61.046 429164.129 4414665.119 61.071 429161.335 4414669.294 61.098 429159.662 4414671.784 61.100 429136.104 4414706.617 61.304 429124.588 4414723.478 61.429 429121.815 4414727.597 61.457 429114.706 4414738.137 61.539 429111.926 4414742.228 61.563 429109.129 4414746.333 61.585 429107.367 4414749.137 61.554 429101.991 4414757.064 61.582 429097.301 4414764.038 61.663 429094.671 4414768.202 61.674 429092.208 4414772.557 61.658 429089.844 4414776.959 61.691 429086.916 4414782.599 61.735 429086.931 4414782.639 61.733 429084.718 4414787.114 61.763 429082.579 4414791.629 61.788 429080.493 4414796.163 61.799 429078.452 4414800.747 61.815 429076.470 4414805.335 61.850 429074.661 4414810.003 61.894 429074.207 4414811.231 61.898 429072.456 4414816.109 61.913 429070.895 4414820.786 61.947 429069.479 4414825.499 61.981 429068.148 4414830.250 62.011 429066.928 4414835.044 62.024 429065.823 4414839.876 62.031 429064.784 4414844.697 62.061 429063.860 4414849.639 62.093 429063.130 4414854.334 62.103 429062.447 4414859.215 62.122 429061.903 4414864.043 62.139 429057.249 4414913.638 62.354 429054.909 4414930.620 62.447 429054.087 4414935.490 62.489 429053.274 4414940.342 62.483 429052.342 4414945.174 62.516 429051.340 4414949.998 62.539 429050.271 4414954.876 62.540 429049.092 4414959.735 62.553 429047.822 4414964.582 62.589 429046.512 4414969.384 62.607 429045.423 4414973.144 62.617 429045.342 4414973.565 62.617 429043.812 4414978.313 62.638 429042.295 4414983.029 62.666 429040.692 4414987.761 62.699 429039.050 4414992.465 62.722 429037.618 4414996.581 62.731 429034.370 4415004.530 62.809 429027.777 4415019.862 62.836 429027.727 4415019.983 62.803,2,
54,429024.327 4415018.165 62.808 429025.871 4415014.988 62.808 429027.767 4415010.343 62.780 429029.729 4415005.747 62.765 429031.624 4415001.128 62.745 429033.467 4414996.470 62.721 429035.226 4414991.777 62.691 429036.898 4414987.090 62.674 429039.143 4414980.581 62.639 429039.112 4414980.513 62.641 429040.614 4414975.782 62.621 429042.058 4414971.003 62.600 429043.441 4414966.196 62.592 429044.723 4414961.358 62.572 429045.965 4414956.495 62.550 429047.110 4414951.638 62.518 429048.196 4414946.740 62.484 429049.178 4414941.832 62.448 429050.080 4414936.920 62.424 429050.936 4414931.993 62.407 429051.308 4414929.689 62.396 429051.977 4414925.133 62.385 429052.644 4414920.174 62.376 429053.273 4414915.228 62.365 429053.222 4414915.206 62.362 429053.355 4414913.981 62.357 429053.863 4414909.086 62.330 429054.349 4414904.087 62.312 429054.802 4414899.107 62.284 429055.251 4414894.116 62.263 429055.696 4414889.120 62.235 429056.005 4414885.592 62.224 429058.582 4414859.165 62.134 429059.701 4414852.161 62.093 429060.567 4414847.304 62.067 429061.509 4414842.488 62.052 429061.736 4414841.420 62.053 429061.798 4414841.257 62.060 429062.808 4414836.446 62.041 429063.941 4414831.640 62.009 429065.221 4414826.888 61.976 429066.547 4414822.114 61.931 429068.014 4414817.328 61.911 429068.559 4414815.658 61.904 429072.433 4414805.152 61.853 429074.373 4414800.557 61.832 429076.357 4414795.972 61.800 429078.392 4414791.423 61.796 429080.501 4414786.911 61.777 429082.675 4414782.417 61.745 429084.909 4414777.927 61.726 429087.202 4414773.451 61.699 429087.321 4414773.344 61.691 429089.788 4414768.989 61.672 429092.430 4414764.749 61.653 429095.184 4414760.564 61.631 429095.712 4414759.761 61.627 429099.353 4414754.525 61.647 429102.069 4414750.414 61.612 429104.846 4414746.329 61.598 429107.318 4414742.469 61.526 429113.712 4414733.024 61.493 429131.538 4414706.813 61.375 429134.226 4414702.613 61.301 429137.034 4414698.586 61.321 429139.819 4414694.428 61.281 429140.595 4414693.173 61.252 429152.631 4414675.488 61.136 429155.444 4414671.425 61.145 429158.193 4414667.305 61.138 429160.983 4414663.185 61.120 429163.751 4414659.076 61.104 429175.328 4414641.968 60.930 429178.074 4414637.881 60.948 429179.018 4414636.349 60.923 429207.429 4414594.621 60.891 429212.848 4414586.226 60.646 429215.652 4414582.089 60.624 429218.445 4414577.931 60.609 429221.244 4414573.789 60.592 429224.043 4414569.663 60.574 429226.856 4414565.525 60.549 429229.661 4414561.386 60.550 429230.862 4414559.590 60.535 429246.710 4414536.194 60.393 429252.938 4414527.093 60.370 429255.711 4414523.032 60.348 429256.532 4414521.573 60.295 429259.190 4414517.852 60.330 429261.998 4414513.805 60.308 429263.169 4414512.024 60.268 429268.284 4414505.074 60.226 429273.712 4414498.265 60.188 429278.886 4414492.211 60.149 429289.199 4414481.243 60.076 429298.271 4414472.638 60.026 429304.317 4414467.267 59.983 429311.245 4414461.679 59.969 429315.150 4414458.640 59.957 429332.133 4414446.657 59.813 429345.357 4414438.702 59.748 429356.637 4414432.928 59.714 429361.055 4414430.730 59.681 429365.553 4414428.744 59.670 429370.107 4414426.806 59.655 429374.698 4414424.939 59.623 429389.250 4414419.651 59.528 429397.895 4414416.963 59.481 429405.637 4414414.691 59.422 429406.154 4414414.505 59.392,2,
55,429101.689 4415074.584 62.438 429109.264 4415078.746 62.384 429120.545 4415085.734 62.314 429134.454 4415096.155 62.208,2,
56,429071.019 4415067.945 62.612 429035.985 4415050.384 62.767 429035.800 4415050.299 62.802,2,
57,429126.099 4415104.956 62.171 429124.946 4415104.026 62.171 429120.966 4415101.019 62.195 429117.189 4415098.178 62.219 429113.130 4415095.393 62.251 429108.948 4415092.638 62.280 429104.647 4415090.010 62.306 429100.318 4415087.488 62.328 429095.989 4415085.056 62.347 429091.546 4415082.792 62.378 429086.981 4415080.699 62.412 429081.940 4415078.562 62.450 429070.213 4415074.260 62.537 429033.242 4415055.775 62.703 429032.889 4415055.608 62.713,2,
58,429155.691 4415122.004 62.088 429159.345 4415126.384 62.135 429160.199 4415126.313 62.377 429161.437 4415128.061 62.171 429164.550 4415132.051 62.020 429167.567 4415136.019 61.988 429170.507 4415140.105 61.963 429173.342 4415144.295 61.934 429175.841 4415148.312 61.911 429176.471 4415149.278 61.901 429179.056 4415153.643 61.865 429181.508 4415157.941 61.844 429183.900 4415162.382 61.811 429186.206 4415166.850 61.809 429188.416 4415171.364 61.786 429190.492 4415175.918 61.755 429192.454 4415180.519 61.712 429194.270 4415185.182 61.649 429195.932 4415189.871 61.578 429197.452 4415194.575 61.561 429198.849 4415199.397 61.628 429200.073 4415204.205 61.605 429201.227 4415209.141 61.582 429202.282 4415213.978 61.556 429205.482 4415229.498 61.507 429207.278 4415238.481 61.472 429212.950 4415266.392 61.332 429214.923 4415276.189 61.315 429215.469 4415278.633 61.362 429216.740 4415285.300 61.288 429217.622 4415289.706 61.270 429218.968 4415296.107 61.236 429219.478 4415298.687 61.233 429220.447 4415303.635 61.260 429220.517 4415303.819 61.263 429220.781 4415305.747 61.235 429221.811 4415310.679 61.210 429222.797 4415315.526 61.199 429223.743 4415320.449 61.187 429225.047 4415326.431 61.184 429227.259 4415337.206 61.155 429228.686 4415344.300 61.114 429232.514 4415363.293 61.064 429233.287 4415367.067 61.066 429234.270 4415371.957 61.063 429235.250 4415376.801 61.049 429236.224 4415381.663 61.020 429236.230 4415381.749 61.017 429237.256 4415386.853 60.996 429238.265 4415391.790 60.978 429239.270 4415396.738 60.970 429240.257 4415401.657 60.954 429241.247 4415406.541 60.949 429242.221 4415411.410 60.950 429243.213 4415416.289 60.951 429244.203 4415421.183 60.954 429245.168 4415426.045 60.930 429246.148 4415430.851 60.947 429247.157 4415435.836 60.961 429248.169 4415440.768 60.972 429249.178 4415445.742 60.964 429250.161 4415450.647 60.976 429251.190 4415455.570 60.998 429252.186 4415460.415 61.017 429253.159 4415465.191 61.026 429253.507 4415466.726 61.027 429253.565 4415467.280 61.036 429254.043 4415469.712 61.040 429255.069 4415474.725 61.050 429256.063 4415479.672 61.034 429256.125 4415480.346 61.040,2,
59,429256.767 4415487.554 61.074 429255.471 4415480.790 61.050 429254.921 4415480.438 61.045 429254.153 4415476.861 61.051 429253.146 4415471.929 61.034 429252.163 4415467.041 61.023 429251.170 4415462.122 61.014 429250.173 4415457.205 60.995 429249.480 4415453.787 60.986 429248.732 4415450.090 60.976 429247.736 4415445.188 60.971 429247.030 4415441.543 60.984 429244.879 4415431.010 60.961 429243.907 4415426.174 60.942 429243.793 4415425.477 60.948 429242.234 4415417.995 60.959 429241.224 4415413.158 60.954 429240.263 4415408.299 60.952 429239.310 4415403.420 60.956 429238.308 4415398.553 60.971 429237.313 4415393.619 60.974 429236.288 4415388.682 60.994 429235.306 4415383.726 61.002 429234.309 4415378.794 61.032 429233.348 4415373.918 61.053 429232.366 4415369.063 61.060 429231.377 4415364.156 61.062 429230.416 4415359.352 61.079 429229.409 4415354.398 61.097 429228.446 4415349.546 61.111 429227.454 4415344.645 61.119 429226.454 4415339.728 61.144 429226.459 4415339.639 61.151 429224.615 4415330.624 61.171 429223.631 4415325.675 61.185 429222.619 4415320.750 61.196 429221.641 4415315.823 61.211 429220.635 4415310.900 61.218 429219.630 4415305.956 61.240 429218.597 4415300.870 61.243 429217.625 4415295.969 61.233 429216.626 4415291.049 61.267 429215.655 4415286.186 61.291 429214.651 4415281.325 61.302 429213.687 4415276.479 61.322 429212.680 4415271.564 61.338 429211.696 4415266.686 61.344 429210.713 4415261.814 61.367 429209.705 4415256.895 61.392 429208.716 4415252.033 61.409 429208.706 4415251.886 61.405 429207.946 4415247.660 61.439 429206.956 4415242.766 61.465 429205.852 4415237.885 61.485 429204.058 4415228.994 61.520 429204.042 4415228.914 61.520 429203.043 4415224.017 61.540 429202.033 4415219.105 61.563 429201.437 4415216.201 61.561 429200.992 4415213.887 61.564 429200.428 4415211.266 61.569 429199.320 4415206.379 61.622 429198.042 4415201.479 61.628 429196.705 4415196.631 61.614 429195.213 4415191.862 61.599 429193.597 4415187.111 61.653 429191.827 4415182.441 61.709 429189.910 4415177.805 61.742 429187.864 4415173.230 61.779 429185.711 4415168.740 61.803 429183.419 4415164.249 61.807 429181.030 4415159.797 61.861 429181.008 4415159.663 61.858 429178.797 4415155.792 61.869 429176.289 4415151.505 61.893 429173.636 4415147.214 61.912 429170.932 4415143.000 61.951 429168.081 4415138.934 61.980 429165.121 4415134.876 62.004 429162.004 4415130.859 62.037 429158.950 4415126.883 62.071,2,
60,429164.627 4415146.525 61.859 429161.755 4415142.412 61.886 429158.758 4415138.383 61.913 429155.659 4415134.463 61.955 429152.476 4415130.555 61.974 429152.058 4415130.035 61.974 429149.652 4415127.277 61.995 429149.315 4415126.908 62.007,2,
61,429391.136 4415404.953 60.455 429387.464 4415408.355 60.469 429383.767 4415411.736 60.490 429380.093 4415415.125 60.511 429376.406 4415418.525 60.529 429372.715 4415421.933 60.540 429369.039 4415425.327 60.557 429363.231 4415430.668 60.579 429362.894 4415430.989 60.580 429359.233 4415434.356 60.599 429355.540 4415437.744 60.617 429351.860 4415441.118 60.637 429348.194 4415444.505 60.648 429344.520 4415447.890 60.679 429340.842 4415451.264 60.715 429337.176 4415454.634 60.744 429333.499 4415458.031 60.769 429329.813 4415461.448 60.786 429326.164 4415465.460 60.801 429319.283 4415473.340 60.903 429312.138 4415480.258 60.894 429287.804 4415502.644 60.987 429287.577 4415502.839 60.981,2,
62,429785.685 4414649.954 59.742 429795.186 4414697.082 59.693,2,
63,430232.295 4414624.108 58.344 430228.714 4414626.065 58.232 430224.316 4414628.473 58.228 430219.986 4414630.868 58.222 430215.637 4414633.250 58.226 430211.218 4414635.671 58.239 430206.809 4414638.100 58.251 430202.469 4414640.477 58.247 430198.101 4414642.903 58.241 430193.735 4414645.276 58.236 430189.338 4414647.697 58.233 430184.982 4414650.104 58.221 430180.654 4414652.466 58.216 430176.256 4414654.896 58.210 430171.835 4414657.347 58.204 430167.443 4414659.787 58.192 430163.057 4414662.212 58.180 430158.688 4414664.641 58.164 430154.302 4414667.093 58.145 430153.366 4414667.605 58.144 430149.003 4414670.068 58.130 430144.698 4414672.520 58.117 430140.364 4414674.999 58.100 430136.076 4414677.499 58.087 430131.786 4414680.059 58.077 430127.510 4414682.628 58.072 430123.224 4414685.226 58.061 430118.961 4414687.836 58.049 430114.718 4414690.466 58.046 430110.472 4414693.120 58.042 430106.265 4414695.791 58.033 430102.048 4414698.513 58.025 430097.868 4414701.250 58.020 430093.718 4414704.015 58.024 430089.574 4414706.769 58.026 430085.427 4414709.536 58.031 430081.249 4414712.329 58.030 430077.102 4414715.161 58.030 430072.939 4414717.960 58.034 430068.788 4414720.768 58.034 430064.655 4414723.568 58.029 430060.530 4414726.369 58.036 430056.379 4414729.186 58.052 430054.158 4414730.714 58.062 430017.933 4414755.331 58.335 430013.820 4414758.156 58.243 430009.620 4414761.019 58.263 430005.416 4414763.857 58.290 430001.310 4414766.694 58.310 429997.202 4414769.474 58.334 429993.113 4414772.262 58.362 429988.978 4414775.074 58.398 429984.872 4414777.876 58.424 429980.732 4414780.705 58.453 429976.593 4414783.513 58.489 429972.464 4414786.330 58.527 429968.323 4414789.142 58.559 429964.215 4414791.958 58.583 429960.070 4414794.784 58.606 429955.934 4414797.582 58.634 429951.789 4414800.397 58.672 429947.673 4414803.175 58.716 429943.497 4414806.013 58.760 429939.342 4414808.842 58.804 429935.223 4414811.657 58.844 429930.958 4414814.514 58.886 429926.832 4414817.370 58.927 429922.736 4414820.170 58.978 429918.916 4414822.737 59.014 429914.772 4414825.570 59.054 429910.584 4414828.424 59.090 429906.465 4414831.234 59.117 429902.894 4414833.756 59.140 429900.457 4414835.674 59.159 429896.497 4414838.789 59.203 429892.569 4414841.977 59.242 429888.661 4414845.120 59.277 429884.663 4414848.035 59.309 429880.504 4414850.882 59.344 429876.422 4414853.715 59.381 429872.274 4414856.551 59.409 429868.143 4414859.401 59.439 429864.022 4414862.232 59.484 429859.911 4414865.043 59.518 429855.811 4414867.870 59.560 429851.720 4414870.682 59.560 429848.717 4414872.767 59.560,2,
64,429861.860 4414860.204 59.528 429857.758 4414863.032 59.560 429853.670 4414865.839 59.605 429849.594 4414868.652 59.652 429848.445 4414869.323 59.669,2,
65,430229.701 4414616.825 58.415 430224.965 4414619.446 58.415 430207.378 4414629.459 58.337 430202.956 4414631.914 58.342 430198.586 4414634.342 58.340 430194.378 4414636.605 58.342 430155.952 4414657.886 58.275 430151.611 4414660.224 58.257 430147.248 4414662.662 58.243 430142.897 4414665.148 58.229 430141.403 4414666.007 58.225 430136.748 4414668.675 58.217 430132.449 4414671.204 58.203 430128.140 4414673.741 58.195 430123.866 4414676.317 58.178 430119.582 4414678.908 58.167 430115.316 4414681.522 58.157 430111.067 4414684.163 58.156 430106.822 4414686.828 58.157 430102.622 4414689.498 58.152 430098.381 4414692.208 58.143 430094.201 4414694.926 58.139 430090.033 4414697.662 58.134 430085.922 4414700.413 58.121 430081.795 4414703.174 58.108 430077.684 4414705.953 58.096 430073.550 4414708.736 58.119 430069.393 4414711.541 58.130 430065.331 4414714.330 58.131 430061.218 4414717.099 58.121 430057.089 4414719.883 58.128 430052.947 4414722.693 58.153 430048.794 4414725.537 58.173 430044.676 4414728.333 58.184 430040.533 4414731.154 58.177 430036.443 4414733.951 58.195 430032.309 4414736.766 58.225 430028.173 4414739.576 58.249 430024.056 4414742.372 58.267 430022.509 4414743.446 58.280 430015.250 4414748.413 58.319 430011.120 4414751.180 58.340 430006.962 4414754.005 58.355 430002.809 4414756.835 58.380 429999.662 4414758.977 58.407 429998.193 4414760.012 58.417 429994.063 4414762.793 58.436 429989.949 4414765.617 58.462 429985.872 4414768.367 58.492 429981.789 4414771.143 58.528 429977.726 4414773.931 58.557 429973.608 4414776.736 58.588 429969.508 4414779.528 58.616 429965.355 4414782.346 58.653 429961.233 4414785.170 58.683 429957.131 4414787.940 58.714 429952.997 4414790.771 58.740 429948.871 4414793.578 58.777 429944.739 4414796.385 58.820 429940.566 4414799.233 58.866 429936.384 4414802.064 58.900 429932.218 4414804.917 58.930 429928.050 4414807.747 58.984 429923.954 4414810.536 59.033 429919.801 4414813.353 59.068 429915.669 4414816.188 59.109 429911.557 4414818.992 59.149 429907.344 4414821.911 59.188 429902.292 4414825.291 59.229 429901.796 4414825.641 59.234 429898.840 4414827.635 59.256 429894.704 4414830.466 59.294 429890.561 4414833.316 59.331 429886.378 4414836.148 59.373 429882.238 4414838.988 59.411 429878.121 4414841.798 59.431 429873.973 4414844.579 59.471 429870.684 4414846.892 59.507 429866.904 4414849.486 59.541 429862.794 4414852.233 59.584 429858.573 4414855.102 59.616 429854.540 4414857.887 59.638 429850.356 4414860.725 59.683 429847.496 4414862.608 59.718 429846.804 4414863.027 59.718,2,
66,430202.525 4414627.371 58.384 430206.909 4414624.942 58.385 430211.282 4414622.547 58.369 430215.669 4414620.137 58.342 430220.046 4414617.704 58.352 430224.459 4414615.281 58.344 430228.262 4414613.207 58.333 430228.568 4414613.157 58.423,2,
67,430200.850 4414624.929 58.344 430201.055 4414624.868 58.339 430205.474 4414622.441 58.344 430209.849 4414620.021 58.307 430214.240 4414617.618 58.286 430218.633 4414615.204 58.297 430223.000 4414612.798 58.295 430228.063 4414610.045 58.357,2,
68,429846.440 4414861.837 59.846 429846.654 4414861.697 59.789 429850.826 4414858.903 59.749 429854.943 4414856.076 59.711 429859.113 4414853.243 59.686 429863.246 4414850.425 59.648 429867.293 4414847.679 59.616 429871.421 4414844.871 59.572 429875.552 4414842.081 59.540 429879.709 4414839.251 59.505 429883.907 4414836.390 59.479 429887.984 4414833.610 59.441 429892.034 4414830.857 59.403 429896.165 4414828.012 59.367 429900.306 4414825.198 59.338 429904.465 4414822.380 59.299 429908.608 4414819.542 59.265 429912.767 4414816.728 59.223 429916.889 4414813.915 59.185 429921.045 4414811.079 59.146 429925.175 4414808.265 59.112 429929.355 4414805.417 59.057 429933.603 4414802.536 59.015 429937.702 4414799.748 58.982 429941.880 4414796.881 58.941 429946.044 4414794.037 58.900 429950.226 4414791.239 58.859 429954.290 4414788.445 58.827 429958.394 4414785.634 58.795 429962.556 4414782.826 58.769 429966.745 4414779.985 58.735 429970.943 4414777.134 58.696 429975.119 4414774.265 58.666 429979.263 4414771.468 58.635 429983.567 4414768.546 58.596 429987.698 4414765.679 58.565 429991.884 4414762.867 58.536 429996.026 4414760.020 58.511 430000.148 4414757.217 58.482 430004.274 4414754.411 58.451 430008.376 4414751.634 58.432 430012.451 4414748.844 58.412 430014.556 4414747.424 58.399 430023.047 4414741.641 58.348 430027.140 4414738.841 58.329 430031.258 4414736.031 58.306 430035.428 4414733.228 58.276 430039.558 4414730.412 58.255 430043.719 4414727.571 58.260 430047.894 4414724.717 58.251 430052.054 4414721.897 58.233 430056.187 4414719.083 58.209 430060.318 4414716.276 58.202 430064.664 4414713.332 58.213 430068.741 4414710.556 58.204 430072.888 4414707.759 58.195 430077.136 4414704.883 58.179 430081.363 4414702.036 58.185 430085.562 4414699.221 58.200 430089.777 4414696.420 58.209 430093.756 4414693.780 58.214 430097.981 4414691.054 58.218 430102.190 4414688.366 58.228 430106.400 4414685.689 58.235 430110.633 4414683.059 58.240 430114.867 4414680.403 58.241 430119.115 4414677.816 58.250 430123.415 4414675.224 58.259 430127.722 4414672.630 58.274 430132.010 4414670.113 58.286 430136.330 4414667.589 58.295 430140.627 4414665.110 58.303 430145.015 4414662.598 58.316 430149.346 4414660.133 58.334 430153.699 4414657.679 58.343 430154.696 4414657.140 58.346 430159.113 4414654.683 58.372 430163.481 4414652.285 58.392 430167.904 4414649.863 58.396 430172.233 4414647.467 58.394 430176.678 4414645.061 58.404 430181.000 4414642.673 58.411 430183.366 4414641.395 58.418 430184.495 4414640.712 58.417 430188.855 4414638.327 58.417 430193.217 4414635.952 58.426 430197.561 4414633.574 58.423 430201.906 4414631.187 58.423 430206.301 4414628.784 58.422 430210.702 4414626.351 58.413 430215.025 4414623.950 58.409 430216.378 4414623.260 58.409 430217.798 4414622.425 58.403 430222.167 4414620.047 58.410 430224.117 4414619.116 58.410,2,
69,429860.224 4414857.704 59.570 429856.097 4414860.483 59.596 429852.428 4414862.962 59.633 429847.432 4414866.369 59.774,2,
